Prompt Strategy,BERTScore F1,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Hallucination Rate,% With Hallucinations
Structured,0.3823157802224159,0.010112885648253512,0.07822623544880603,0.022591136421333924,0.052382143914430426,0.43186924502713975,0.8
Role,0.40231838524341584,0.004557206996064775,0.06696900961044494,0.014614461195201878,0.05429759271098276,0.5232784233310549,1.0
Zero Shot,0.41989093124866483,0.005427111263087586,0.0797571295410093,0.02125490102908419,0.0640974138085744,0.5366111111111113,1.0
Chain Of Thought,0.39535570740699766,0.004307101641061685,0.06759784779634069,0.01873738441212138,0.05307603217061405,0.5760812873078897,1.0
Few Shot,0.4153867721557617,0.006027209261316966,0.08512480508055613,0.024317341064291956,0.06521902856896954,0.6022780435938331,1.0
Original (Baseline),0.4048982411623001,0.0047366288432190255,0.06755385909667176,0.013921838708854262,0.051913008583493944,0.6087995337995338,1.0
Extract Then Abstract,0.41432662308216095,0.004946915047728279,0.0783780851673001,0.02237083809211221,0.05708061400955679,0.6207181834415243,1.0
