Prompt Strategy,Mistral BERTScore F1,Mistral BLEU,Mistral ROUGE-L,Mistral Hall. Rate,LLaMA BERTScore F1,LLaMA BLEU,LLaMA ROUGE-L,LLaMA Hall. Rate
Structured,0.3823157802224159,0.010112885648253512,0.052382143914430426,0.43186924502713975,0.3808202475309372,0.004789439047475435,0.05022295159322352,0.5581689123884246
Role,0.40231838524341584,0.004557206996064775,0.05429759271098276,0.5232784233310549,0.3819853127002716,0.0029654413480944,0.03790097063833641,0.6828673379760335
Zero Shot,0.41989093124866483,0.005427111263087586,0.0640974138085744,0.5366111111111113,0.3960295975208282,0.00425980639333113,0.04813297437278067,0.6568600079469644
Chain Of Thought,0.39535570740699766,0.004307101641061685,0.05307603217061405,0.5760812873078897,0.38832654654979704,0.00341899523457194,0.043458746255687464,0.671245222467027
Few Shot,0.4153867721557617,0.006027209261316966,0.06521902856896954,0.6022780435938331,0.4151902079582214,0.005149191745473459,0.06564203077796146,0.5554895150151526
Original (Baseline),0.4048982411623001,0.0047366288432190255,0.051913008583493944,0.6087995337995338,0.39891245365142824,0.004058267913561537,0.05054633936060238,0.6281539030706622
Extract Then Abstract,0.41432662308216095,0.004946915047728279,0.05708061400955679,0.6207181834415243,0.38298779129981997,0.0038849598065532768,0.05038185720010398,0.5035278391096838
