model,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,bleu_mean,bleu_std,bert_precision_mean,bert_precision_std,bert_recall_mean,bert_recall_std,bert_f1_mean,bert_f1_std
bart,0.1446798557996696,0.09959446218511134,0.04480768808653215,0.06508060040192651,0.10533825428234903,0.08632086974077377,0.0177628506059792,0.01766587750344945,0.4633540421724319,0.05700520334507064,0.5501978874206543,0.07304696051708728,0.5022425800561905,0.06100378988278282
llama,0.061432328481258014,0.04471193199152299,0.017184723843159177,0.020544007252662186,0.05054633936060238,0.03411936357038072,0.004058267913561537,0.003711987007268865,0.33872425854206084,0.09497559358114051,0.5007049441337585,0.06168175874584668,0.39891245365142824,0.08055177978344437
mistral,0.06755385909667175,0.04213903751612665,0.013921838708854262,0.023734309588928318,0.051913008583493944,0.03699325730961174,0.0047366288432190255,0.004355480860354768,0.34934514462947847,0.1025472507889068,0.49891464710235595,0.06610914649501286,0.4048982411623001,0.08476818910555192
pegasus,0.08219371535285358,0.058120486700219694,0.01183029702798266,0.02265893298524748,0.07217011291455444,0.05270831454257752,0.007597528133299475,0.0069747114761258295,0.35484044551849364,0.07583998044601138,0.4413287788629532,0.06948887162559575,0.3909313052892685,0.07001249577764852
t5,0.06097975045392312,0.0602027928941848,0.008592251630226314,0.019932524037172147,0.048648451964597064,0.04430830151521396,0.005463831605476448,0.0038006569682169132,0.33439127653837203,0.061514779466439934,0.4453690081834793,0.10523352773703464,0.38079639375209806,0.07631871629819954
textrank,0.1008090373113995,0.10311170425603353,0.02726310726310726,0.0587313681128556,0.0936179176202798,0.094576965856679,0.01571961490307252,0.022275656210418934,0.3707031697034836,0.07440059549654154,0.4513442873954773,0.07947244133095194,0.40418759882450106,0.06600853322623085
