model,rouge1,rouge2,rougeL,bleu,bert_f1
bart,0.1446798557996696,0.04480768808653215,0.10533825428234903,0.0177628506059792,0.5022425800561905
Mistral + Zero Shot,0.0797571295410093,0.02125490102908419,0.0640974138085744,0.0054271112630875865,0.41989093124866483
LLaMA + Few Shot,0.08082893584786761,0.02467959380219172,0.06564203077796146,0.00514919174547346,0.4151902079582214
mistral,0.06755385909667175,0.013921838708854262,0.051913008583493944,0.0047366288432190255,0.4048982411623001
textrank,0.1008090373113995,0.02726310726310726,0.0936179176202798,0.01571961490307252,0.40418759882450106
llama,0.061432328481258014,0.017184723843159177,0.05054633936060238,0.004058267913561537,0.39891245365142824
pegasus,0.08219371535285358,0.01183029702798266,0.07217011291455444,0.007597528133299475,0.3909313052892685
t5,0.06097975045392312,0.008592251630226314,0.048648451964597064,0.005463831605476448,0.38079639375209806
